order,id,kind,title,file
1,ATH-WORK-0008,work,Gyre,001_ath-work-0008_gyre.tex
2,ATH-WORK-0002,work,Remnant,002_ath-work-0002_remnant.tex
3,ATH-WORK-0005,work,Residue,003_ath-work-0005_residue.tex
4,ATH-WORK-0004,work,Stay,004_ath-work-0004_stay.tex
5,ATH-WORK-0006,work,,005_ath-work-0006_untitled.tex
6,ATH-WORK-0001,work,Fray,006_ath-work-0001_fray.tex
7,ATH-WORK-0009,work,,008_ath-work-0009_untitled.tex
8,ATH-WORK-0007,work,Pivot,010_ath-work-0007_pivot.tex
9,ATH-WORK-0013,work,Given,013_ath-work-0013_given.tex
10,ATH-WORK-0012,work,After,011_ath-work-0012_after.tex
11,APHORISM-0001,aphorism,,012_aphorism-0001_untitled.tex
